date,avg_value
2015-08-17,323.3703703703704
2015-08-01,201.33333333333334
2015-08-25,269.3939393939394
2015-09-03,303.7761194029851
2015-08-11,559.2816901408451
2015-09-02,456.1818181818182
2015-09-04,321.70212765957444
2015-08-23,226.84615384615384
2015-09-07,243.24137931034483
2015-08-27,333.42
2015-09-08,287.375
2015-08-02,199.7
2015-08-29,305.75
2015-08-21,395.9736842105263
2015-09-09,279.5
2015-09-11,283.9428571428571
2015-09-01,228.28571428571428
2015-08-08,263.92727272727274
2015-08-09,230.7391304347826
2015-09-05,236.13333333333333
2015-09-13,125.57377049180327
2015-08-04,606.1830985915493
2015-09-14,199.45070422535213
2015-08-20,207.0
2015-08-10,259.22
2015-08-06,200.5531914893617
2015-09-12,233.47058823529412
2015-08-13,308.23636363636365
2015-09-15,150.41071428571428
2015-08-07,424.3859649122807
2015-09-16,210.7378640776699
2015-08-18,187.52941176470588
2015-07-30,342.77142857142854
2015-08-03,267.76
2015-08-26,352.7241379310345
2015-09-10,207.38666666666666
2015-09-17,203.21052631578948
2015-07-31,2095.7
2015-08-30,280.7317073170732
2015-08-31,208.0
2015-07-28,173.0
2015-08-14,312.72727272727275
2015-08-28,350.1666666666667
2015-08-05,391.6551724137931
2015-08-24,276.52941176470586
2015-08-19,337.1363636363636
2015-08-12,560.0714285714286
2015-08-16,276.89285714285717
2015-09-06,427.6896551724138
2015-07-29,586.1666666666666
2015-08-22,187.3
2015-08-15,297.61538461538464
